Word1,Word2,Word1_Freq,Word2_Freq,Bigram_Freq
hear,call,1132,660,10
clap,hand,23,1662,18
good,family,1595,388,14
good,society,1595,245,11
cry,alarm,1704,205,11
old,friend,1356,606,30
time,meet,2625,508,12
head,tail,804,43,15
bad,sign,376,211,10
last,interview,1586,82,11
think,time,2317,2625,17
shut,door,91,750,10
story,tell,386,2482,17
way,tell,1198,2482,12
last,begin,1586,1745,12
second,place,304,704,15
tell,anything,2482,796,12
refuse,answer,197,818,10
set,fire,420,253,21
decent,man,37,2546,14
much,time,1227,2625,10
woman,love,1047,1234,11
love,woman,1234,1047,14
hold,tongue,550,100,41
divinity,student,18,114,17
play,part,288,524,21
nothing,world,1567,429,10
wet,towel,72,27,11
fond,child,155,758,12
cry,turn,1704,1279,10
mean,nothing,1062,1567,19
old,lady,1356,681,119
high,rank,285,71,11
large,room,201,1129,13
thing,tell,1295,2482,10
end,room,622,1129,13
use,word,663,1439,18
seem,forget,1349,458,13
light,candle,346,111,15
air,man,292,2546,11
new,man,511,2546,17
felt,something,657,1444,11
hand,begin,1662,1745,11
wooden,house,50,888,10
little,house,1465,888,18
hear,talk,1132,1065,11
spend,day,216,1711,12
sign,cross,211,272,21
roar,laughter,56,148,13
great,respect,1202,257,12
glass,champagne,159,79,10
read,aloud,561,149,19
rest,hope,310,240,10
brain,fever,127,101,14
letter,write,544,602,15
love,life,1234,1043,13
begin,something,1745,1444,14
stepan,trofimovitch,525,513,512
use,expression,663,318,14
certain,circumstance,460,195,15
varvara,petrovna,474,507,422
live,year,606,871,14
thou,didst,169,50,43
faint,smile,89,734,10
old,gentleman,1356,637,17
great,number,1202,120,11
great,idea,1202,798,19
lizaveta,nikolaevna,159,76,76
madame,virginsky,247,109,24
master,house,130,888,12
nonsense,nonsense,277,277,10
understand,anything,1051,796,12
begin,ask,1745,1621,10
day,pass,1711,521,12
nikolay,vsyevolodovitch,518,312,312
nikolay,stavrogin,518,286,16
varvara,look,474,2970,10
petrovna,look,507,2970,10
time,hear,2625,1132,11
nikolay,look,518,2970,14
pay,visit,324,290,20
praskovya,ivanovna,73,635,48
cry,stepan,1704,525,10
cry,trofimovitch,1704,513,10
whole,time,889,2625,14
andrey,antonovitch,142,83,83
von,lembke,74,127,46
governor,wife,91,408,21
local,society,36,245,14
felt,sure,657,357,17
darya,pavlovna,62,59,49
much,agitate,1227,52,11
je,suis,46,13,10
much,love,1227,1234,10
nod,head,61,804,15
use,call,663,660,11
pyotr,stepanovitch,834,509,509
pyotr,verhovensky,834,91,12
father,son,1140,307,13
great,excitement,1202,159,12
great,writer,1202,30,10
express,opinion,205,251,12
alexey,nilitch,226,29,28
captain,lebyadkin,258,141,24
receive,news,349,135,11
mavriky,nikolaevitch,149,132,132
que,je,37,46,10
town,talk,549,1065,10
love,love,1234,1234,14
little,heart,1465,897,10
nasty,thing,65,1295,11
anonymous,letter,24,544,17
filipov,house,18,888,10
cry,liza,1704,202,12
year,pass,871,521,11
common,cause,90,243,11
shatov,look,433,2970,10
wry,smile,14,734,11
think,thing,2317,1295,10
time,think,2625,2317,10
marya,timofyevna,125,64,63
mother,god,762,803,12
hat,hand,217,1662,11
alexey,yegorytch,226,31,30
tear,eye,449,1211,14
hold,tight,550,31,10
low,voice,182,588,17
steal,money,119,993,10
note,hand,456,1662,13
petersburg,moscow,323,205,13
hand,heart,1662,897,12
old,servant,1356,214,16
moment,life,1301,1043,11
stepanovitch,look,509,2970,10
burst,laughter,159,148,10
guess,right,153,927,12
stretch,hand,72,1662,18
cry,stepanovitch,1704,509,19
vsyevolodovitch,look,312,2970,12
kill,man,432,2546,10
slap,face,46,1410,17
present,case,405,516,13
forgive,everything,359,811,10
shut,eye,91,1211,10
open,gate,682,120,10
blow,brain,136,127,12
stamp,foot,43,308,21
printing,press,11,128,10
cry,shatov,1704,433,12
right,right,927,927,16
throw,stone,329,160,17
forty,year,87,871,27
year,life,871,1043,13
day,day,1711,1711,11
spite,fact,337,885,14
remain,silent,302,291,10
literary,matinée,66,23,10
