Word1,Word2,Word1_Freq,Word2_Freq,Bigram_Freq,t_score,chi_square,likelihood_ratio
look,straight,2970,290,22,4.38214038327628,292.1763611404609,78.81497771114508
whole,thing,889,1295,22,4.278360066537944,208.35795453620403,67.33604227498229
chapter,iii,172,53,22,4.687152972951719,31582.091653102954,278.8795105953527
many,thing,532,1295,21,4.3301884032108005,340.4518897010146,82.82452442596262
varvara,ardalionovna,474,23,21,4.578581840259344,24053.559303792532,254.88032052772536
andrey,semyonovitch,142,25,21,4.5812751827404155,73955.07300194919,304.30616953525634
different,matter,259,609,21,4.524792288687897,1623.6925694333218,143.91680967174872
real,life,215,1043,21,4.500425452209932,1129.8165720828297,129.7029860665131
high,road,285,111,21,4.570986482579793,8261.81754656529,210.84279442645087
seem,strange,1349,548,21,4.31175703121574,314.58616344116655,79.57301383105253
mihail,makarovitch,25,21,21,4.582383365684545,500319.12088136346,408.63927292891384
poor,knight,422,34,21,4.577319427556708,18266.470421227063,243.47358573046398
flush,crimson,129,58,21,4.579834728083781,35067.55385980605,273.3535407910006
hear,something,1132,1444,21,3.983750998777978,121.44910404764053,49.25705030940915
last,moment,1586,1301,21,3.8266718363257253,88.77394610527462,40.81130748364327
fifty,thousand,102,614,20,4.4486261365613124,3764.5887566555884,174.30368058412137
kuzma,kuzmitch,29,20,20,4.47191822978571,410765.5182150761,376.1450383808596
dead,man,220,2546,20,4.261873460529978,386.3263111782089,85.87985714861982
young,woman,776,1047,20,4.167143472305326,254.62601257063355,70.59328817985781
pale,face,238,1410,20,4.346163149361308,670.5794590564473,105.54532289173997
whole,story,889,386,20,4.3433199583788165,654.9208957660438,103.46942277419721
hay,market,29,45,20,4.471646073268374,182540.2320758752,343.7085852278075
chapter,iv,172,45,20,4.469230449559326,30743.8889628076,256.00488609985547
hear,nothing,1132,1567,20,3.8062556717746725,97.30042931724695,42.39421402922658
arm,round,291,493,20,4.418281623349054,1621.067677292459,138.62950098911548
god,bless,803,95,20,4.443499458551294,3083.510120444475,162.78966949188506
father,iosif,1140,19,19,4.35055680530992,9889.83636253752,200.2188525595681
fall,asleep,272,134,19,4.344861351009071,5861.867707323462,181.52603962165495
stand,face,1039,1410,19,3.794672300573392,111.24276243573267,44.87588802558564
von,sohn,74,19,19,4.358357436322185,152903.78614415904,309.1111975698687
old,fellow,1356,375,19,4.16305511665526,385.7369436860981,81.8523853760476
head,ache,804,58,19,4.340939082507594,4573.421311467354,171.29520898666016
great,friend,1202,606,19,4.078358149776154,258.4351024744448,68.95390553453241
set,fire,420,253,19,4.317973938536063,1985.857552275026,140.60636854940478
little,finger,1465,192,19,4.250566688621638,726.9636342661936,103.58113868206338
little,bag,1465,67,19,4.3210955004178855,2152.9461781587047,142.98062962768395
wait,till,639,389,19,4.263164241686722,827.5067411484322,108.47964296394898
honest,man,106,2546,19,4.2549588282515325,759.2491782294942,108.3489880684422
whole,hour,889,508,18,4.0639405232331285,392.1082575720066,79.87353823630248
fresh,air,75,292,18,4.233974988269152,8776.65923119995,191.7385658646324
way,home,1198,469,18,4.02031525847389,308.4376138535484,72.28745896046416
ask,forgiveness,1621,63,18,4.202231227590872,1854.01439690192,132.07929778879716
young,officer,776,165,18,4.191976025896857,1471.5285414563818,124.2384323919338
present,moment,405,1301,18,4.034147534031157,331.1677283290507,74.97372506222501
cry,razumihin,1704,344,18,4.010694354280184,294.23062570883957,70.77038115262549
great,man,1202,2546,18,3.0317014695176785,32.202291466202155,19.55031334172982
feel,sure,533,357,18,4.167347634931962,978.5900832068933,110.3682514565629
poor,fellow,422,375,18,4.180022109811809,1183.8323790243282,117.05941027423104
dear,sir,480,251,18,4.194967472623205,1566.098276255762,126.66160503776507
catch,hold,309,550,18,4.175392489878175,1099.8924414470182,114.81098054394215
lame,man,46,2546,18,4.196298587277626,1612.104943080849,135.04745390275198
good,sir,1595,251,18,4.084226568116683,446.7473842490159,83.89142992365282
strange,thing,548,1295,18,3.9618324749737925,237.14756145268382,64.65449568828865
anonymous,letter,24,544,17,4.117789669211618,13151.381293249762,208.9868463136631
think,fit,2317,217,17,3.918387150936474,309.23034926178383,69.89379857568176
cry,aglaya,1704,480,17,3.790076591945015,177.84363911697147,54.43859116611816
great,importance,1202,70,17,4.088846697002128,2012.1128719119893,129.39420224400675
